Country,Population
China,1439323.774
India,1380004.385
United States of America,331002.647
Indonesia,273523.621
Pakistan,220892.331
Brazil,212559.409
Nigeria,206139.587
Bangladesh,164689.383
Russian Federation,145934.46
Mexico,128932.753
Japan,126476.458
Ethiopia,114963.583
Philippines,109581.085
Egypt,102334.403
Viet Nam,97338.583
Democratic Republic of the Congo,89561.404
Turkey,84339.067
Iran (Islamic Republic of),83992.953
Germany,83783.945
Thailand,69799.978
United Kingdom,67886.004
France,65273.512
Italy,60461.828
United Republic of Tanzania,59734.213
South Africa,59308.69
Myanmar,54409.794
Kenya,53771.3
Republic of Korea,51269.183
Colombia,50882.884
Spain,46754.783
Uganda,45741
Argentina,45195.777
Algeria,43851.043
Sudan,43849.269
Ukraine,43733.759
Iraq,40222.503
Afghanistan,38928.341
Poland,37846.605
Canada,37742.157
Morocco,36910.558
Saudi Arabia,34813.867
Uzbekistan,33469.199
Peru,32971.846
Angola,32866.268
Malaysia,32365.998
Mozambique,31255.435
Ghana,31072.945
Yemen,29825.968
Nepal,29136.808
Venezuela (Bolivarian Republic of),28435.943
Madagascar,27691.019
Cameroon,26545.864
C?te d'Ivoire,26378.275
Dem. People's Republic of Korea,25778.815
Australia,25499.881
Niger,24206.636
"China, Taiwan Province of China",23816.775
Sri Lanka,21413.25
Burkina Faso,20903.278
Mali,20250.834
Romania,19237.682
Malawi,19129.955
Chile,19116.209
Kazakhstan,18776.707
Zambia,18383.956
Guatemala,17915.567
Ecuador,17643.06
Syrian Arab Republic,17500.657
Netherlands,17134.873
Senegal,16743.93
Cambodia,16718.971
Chad,16425.859
Somalia,15893.219
Zimbabwe,14862.927
Guinea,13132.792
Rwanda,12952.209
Benin,12123.198
Burundi,11890.781
Tunisia,11818.618
Bolivia (Plurinational State of),11673.029
Belgium,11589.616
Haiti,11402.533
Cuba,11326.616
South Sudan,11193.729
Dominican Republic,10847.904
Czechia,10708.982
Greece,10423.056
Jordan,10203.14
Portugal,10196.707
Azerbaijan,10139.175
Sweden,10099.27
Honduras,9904.608
United Arab Emirates,9890.4
Hungary,9660.35
Tajikistan,9537.642
Belarus,9449.321
Austria,9006.4
Papua New Guinea,8947.027
Serbia,8737.37
Israel,8655.541
Switzerland,8654.618
Togo,8278.737
Sierra Leone,7976.985
"China, Hong Kong SAR",7496.988
Lao People's Democratic Republic,7275.556
Paraguay,7132.53
Bulgaria,6948.445
Libya,6871.287
Lebanon,6825.442
Nicaragua,6624.554
Kyrgyzstan,6524.191
El Salvador,6486.201
Turkmenistan,6031.187
Singapore,5850.343
Denmark,5792.203
Finland,5540.718
Congo,5518.092
Slovakia,5459.643
Norway,5421.242
Oman,5106.622
State of Palestine,5101.416
Costa Rica,5094.114
Liberia,5057.677
Ireland,4937.796
Central African Republic,4829.764
New Zealand,4822.233
Mauritania,4649.66
Panama,4314.768
Kuwait,4270.563
Croatia,4105.268
Republic of Moldova,4033.963
Georgia,3989.175
Eritrea,3546.427
Uruguay,3473.727
Bosnia and Herzegovina,3280.815
Mongolia,3278.292
Armenia,2963.234
Jamaica,2961.161
Qatar,2881.06
Albania,2877.8
Puerto Rico,2860.84
Lithuania,2722.291
Namibia,2540.916
Gambia,2416.664
Botswana,2351.625
Gabon,2225.728
Lesotho,2142.252
North Macedonia,2083.38
Slovenia,2078.932
Guinea-Bissau,1967.998
Latvia,1886.202
Bahrain,1701.583
Equatorial Guinea,1402.985
Trinidad and Tobago,1399.491
Estonia,1326.539
Timor-Leste,1318.442
Mauritius,1271.767
Cyprus,1207.361
Eswatini,1160.164
Djibouti,988.002
Fiji,896.444
R¨¦union,895.308
Comoros,869.595
Guyana,786.559
Bhutan,771.612
Solomon Islands,686.878
"China, Macao SAR",649.342
Montenegro,628.062
Luxembourg,625.976
Western Sahara,597.33
Suriname,586.634
Cabo Verde,555.988
Maldives,540.542
Malta,441.539
Brunei Darussalam,437.483
Guadeloupe,400.127
Belize,397.621
Bahamas,393.248
Martinique,375.265
Iceland,341.25
Vanuatu,307.15
French Guiana,298.682
Barbados,287.371
New Caledonia,285.491
French Polynesia,280.904
Mayotte,272.813
Sao Tome and Principe,219.161
Samoa,198.41
Saint Lucia,183.629
Channel Islands,173.859
Guam,168.783
Cura?ao,164.1
Kiribati,119.446
Micronesia (Fed. States of),115.021
Grenada,112.519
Saint Vincent and the Grenadines,110.947
Aruba,106.766
Tonga,105.697
United States Virgin Islands,104.423
Seychelles,98.34
Antigua and Barbuda,97.928
Isle of Man,85.032
Andorra,77.265
Dominica,71.991
Cayman Islands,65.72
Bermuda,62.273
Marshall Islands,59.194
Northern Mariana Islands,57.557
Greenland,56.772
American Samoa,55.197
Saint Kitts and Nevis,53.192
Faroe Islands,48.865
Sint Maarten (Dutch part),42.882
Monaco,39.244
Turks and Caicos Islands,38.718
Saint Martin (French part),38.659
Liechtenstein,38.137
San Marino,33.938
Gibraltar,33.691
British Virgin Islands,30.237
"Bonaire, Sint Eustatius and Saba",26.221
Palau,18.092
Cook Islands,17.564
Anguilla,15.002
Tuvalu,11.792
Wallis and Futuna Islands,11.246
Nauru,10.834
Saint Barth¨¦lemy,9.885
Saint Helena,6.071
Saint Pierre and Miquelon,5.795
Montserrat,4.999
Falkland Islands (Malvinas),3.483
Niue,1.618
Tokelau,1.35
Holy See,0.809
